driver_id,total_fare,avg_distance
51,140.65,12.48
15,332.7,27.21666666666667
11,345.09000000000003,22.850000000000005
29,105.13,11.5
69,29.92,20.35
42,212.37,31.134999999999998
87,196.67000000000002,21.486666666666668
64,131.49,3.79
3,206.67000000000002,9.575
30,115.52,41.6
34,93.28,26.16
8,148.96,43.5
22,90.68,46.05
28,83.76,6.47
85,112.04,10.87
52,75.04,20.96
71,120.87,6.39
99,114.65,43.349999999999994
96,144.85,13.18
5,87.53,19.67
31,37.290000000000006,12.905000000000001
27,65.24,35.55
26,109.07,47.11
78,52.13,41.42
90,119.28,18.06
60,57.54,26.28
41,26.76,12.03
23,6.13,1.52
55,79.44,23.74
95,96.77,25.335
38,73.59,20.95
25,90.16,30.25
44,390.40999999999997,20.052500000000002
82,84.9,28.63
53,49.1,46.29
92,69.09,45.25
86,43.8,25.15
58,162.84,45.79
33,124.05,31.67
97,281.62,17.433333333333334
84,94.5,4.67
24,65.51,17.65
9,143.11,39.81
32,94.35,42.42
20,156.82000000000002,27.646666666666665
36,47.44,18.39
10,147.35,41.14
37,14.73,14.65
49,15.42,17.81
63,132.42000000000002,11.114999999999998
65,148.67,6.94
39,105.99,36.300000000000004
62,177.22,26.395
12,244.10000000000002,34.849999999999994
13,408.77000000000004,26.87
14,131.42,36.19
21,114.35,20.29
66,95.78,13.05
94,176.89,12.219999999999999
91,7.45,48.89
74,129.47,10.73
2,95.7,4.63
80,101.82,17.47
50,207.0,27.240000000000002
57,155.51,23.043333333333333
