driver_id,total_fare,avg_distance
7,28.58,16.72
51,429.83000000000004,23.4925
54,442.70000000000005,27.206666666666663
15,669.19,26.501666666666665
11,502.34000000000003,23.653333333333336
29,559.36,23.15142857142857
87,661.21,24.572499999999998
73,131.04,35.94
64,549.99,21.96
3,626.35,15.780000000000001
30,181.94,32.580000000000005
34,709.97,30.073749999999997
59,349.7,25.168
22,469.41999999999996,17.377999999999997
28,127.15,25.933333333333337
16,324.48,24.845
71,383.22,24.423333333333332
98,154.48,40.585
47,427.39,26.308
99,569.11,31.689999999999994
96,322.46,20.782
43,41.02,38.09
5,264.25,30.1175
31,363.68,21.584999999999997
100,460.1,34.124
18,500.11,28.144
61,212.58000000000004,23.198
17,568.38,15.181111111111111
26,504.59000000000003,24.073333333333334
46,79.74000000000001,39.595
78,330.2,38.6925
89,163.07999999999998,29.815
77,52.09,31.36
6,329.59000000000003,26.405
68,153.49,20.22
90,177.37,24.236666666666665
60,185.82999999999998,16.45
19,266.67,15.7575
41,572.3599999999999,20.912
23,144.39,25.543333333333333
95,220.95,31.4325
40,205.96,26.63
25,297.06,29.196000000000005
53,349.54,17.49
92,303.31,31.662
86,389.75,27.31833333333333
58,737.39,28.950000000000003
81,178.19,19.373333333333335
33,630.5899999999999,19.526666666666667
48,162.75,10.42
97,603.47,27.485
79,480.84000000000003,34.186
9,410.87,29.661666666666672
24,180.81,17.926666666666666
32,383.80000000000007,42.404999999999994
88,458.03,37.1025
1,392.67,24.14
20,658.44,28.166249999999998
56,263.03999999999996,26.646000000000004
36,213.61,26.175
10,395.59000000000003,36.73333333333333
37,224.14999999999998,19.6425
49,443.6,20.391666666666666
63,602.3400000000001,19.354285714285712
65,245.70999999999998,17.5925
4,383.77000000000004,20.7025
39,292.79,30.83857142857143
62,318.28999999999996,21.005
12,687.38,25.71285714285714
83,474.63,20.872
13,739.69,25.79375
14,355.03,15.9375
21,548.27,18.930000000000003
66,167.6,9.365
94,319.03,16.68
91,138.82999999999998,25.43
74,272.5,9.129999999999999
72,443.81000000000006,18.313333333333333
2,109.23,26.12
80,266.89,21.563333333333333
57,523.7,28.305714285714284
